turn_lengths,turn_words,turn_syllables,tcus_per_turn
445.0,18,22,1
1545.0,1,1,1
210.0,17,21,2
10681.0,3,4,2
150.0,16,22,1
5235.0,7,7,2
448.0,7,10,1
1019.0,2,2,1
1060.0,4,7,1
5366.0,14,18,3
6131.0,2,3,1
2756.0,3,3,1
2733.0,11,14,1
947.0,10,11,1
3060.0,5,5,1
921.0,9,12,1
1146.0,2,4,1
293.0,2,2,1
4042.0,1,1,1
1689.0,17,25,1
2083.0,8,9,1
985.0,7,10,1
4285.0,3,3,1
558.0,18,28,1
3896.0,2,2,1
7300.0,7,7,1
3093.0,36,48,2
730.0,1,1,1
308.0,2,2,1
380.0,1,1,1
2642.0,2,4,2
304.0,10,13,1
6932.0,1,1,1
1706.0,27,35,2
5642.0,11,13,3
934.0,9,12,1
3429.0,2,2,1
4117.0,17,23,2
1351.0,2,2,1
11202.0,27,35,3
1360.0,3,3,1
283.0,3,3,1
3847.0,2,2,1
2352.0,13,19,1
2024.0,5,5,1
2318.0,12,16,2
3732.0,1,1,1
2744.0,28,38,3
4645.0,16,20,2
6388.0,2,2,1
370.0,17,23,1
4334.0,2,2,1
8110.0,34,46,3
928.0,1,3,1
565.0,2,4,1
1440.0,2,3,1
325.0,5,5,1
1160.0,1,1,1
2954.0,4,6,2
793.0,18,27,2
2298.0,8,9,2
5772.0,10,13,2
1253.0,34,42,2
5934.0,13,18,3
2070.0,2,2,1
602.0,7,8,1
456.0,3,3,1
1252.0,14,18,2
2043.0,8,12,2
376.0,8,9,1
202.0,2,2,1
12533.0,19,27,3
766.0,23,29,2
7092.0,2,2,1
8606.0,56,69,5
905.0,1,1,1
1360.0,4,4,1
7227.0,32,37,2
5268.0,2,2,1
4794.0,15,22,1
344.0,15,17,1
4508.0,9,14,2
611.0,6,8,1
925.0,5,5,3
4229.0,28,38,4
2881.0,12,18,3
1627.0,1,1,1
613.0,5,6,1
4278.0,22,24,3
478.0,1,1,1
287.0,4,4,2
8217.0,20,28,4
4330.0,1,1,1
1975.0,10,19,1
2001.0,11,18,2
9045.0,1,1,1
2283.0,45,60,3
1306.0,2,2,1
7092.0,23,27,2
3503.0,1,1,1
9860.0,35,44,3
8920.0,2,2,1
1727.0,27,35,2
273.0,22,27,2
3364.0,1,1,1
354.0,7,10,1
2467.0,2,2,1
10098.0,28,32,3
9745.0,46,63,2
2570.0,2,2,1
11525.0,29,36,4
621.0,11,16,1
1205.0,1,1,1
4045.0,5,6,1
2605.0,20,22,2
2256.0,1,1,1
6372.0,26,30,2
3165.0,2,2,1
4099.0,12,13,1
341.0,13,16,1
920.0,2,2,1
1407.0,11,14,3
8844.0,2,2,1
468.0,28,32,1
1621.0,1,1,1
210.0,5,5,1
1215.0,1,1,1
372.0,3,6,1
1859.0,1,1,1
409.0,8,9,1
8533.0,29,30,3
4798.0,2,2,1
1540.0,13,16,1
234.0,7,7,1
3472.0,1,1,1
517.0,10,13,1
5626.0,1,1,1
7698.0,39,45,4
35311.0,86,117,9
613.0,2,2,1
2661.0,3,3,1
439.0,12,17,1
11132.0,32,42,3
2496.0,2,2,1
10966.0,41,50,4
1012.0,1,1,1
135.0,4,7,1
9567.0,35,48,3
5600.0,1,1,1
245.0,21,29,1
6817.0,2,2,2
3365.0,14,15,1
834.0,10,11,2
404.0,1,1,1
5782.0,23,31,4
1897.0,1,1,1
6795.0,32,39,5
1842.0,6,8,2
6975.0,14,18,2
340.0,11,13,1
883.0,1,1,1
7510.0,2,6,1
506.0,17,19,1
1816.0,9,10,2
914.0,4,6,2
9809.0,23,29,2
2311.0,1,1,1
646.0,8,9,1
4892.0,21,25,3
276.0,3,3,2
915.0,2,2,1
13804.0,46,60,6
8766.0,23,27,4
2813.0,4,6,2
12941.0,42,51,6
801.0,1,1,1
1305.0,1,1,1
2240.0,6,6,1
6394.0,21,26,3
3265.0,3,5,1
13049.0,48,60,6
4696.0,3,4,2
729.0,15,17,1
2992.0,2,2,2
4286.0,20,26,2
2580.0,1,1,1
712.0,8,8,1
13537.0,43,57,4
1342.0,1,1,1
591.0,4,6,1
900.0,1,1,1
5900.0,11,15,2
13978.0,47,62,4
1840.0,1,1,1
849.0,9,11,1
1258.0,2,2,1
1762.0,2,3,1
6161.0,7,7,1
2422.0,13,13,1
2498.0,11,12,2
1013.0,2,3,1
2604.0,6,11,2
7286.0,16,17,4
783.0,1,1,1
2853.0,8,11,2
590.0,5,5,1
15202.0,45,53,6
511.0,2,2,1
3331.0,12,14,2
2678.0,1,1,1
2189.0,21,22,2
1810.0,2,2,1
969.0,7,8,2
2551.0,1,1,1
3705.0,16,24,2
2469.0,1,1,1
1701.0,7,8,1
588.0,7,8,1
6093.0,17,21,4
1179.0,1,1,1
3779.0,14,14,3
3882.0,4,4,2
598.0,7,9,1
545.0,2,2,1
1587.0,1,1,1
1140.0,6,7,1
10541.0,34,43,3
1330.0,4,5,1
2603.0,6,6,1
1948.0,8,11,1
901.0,6,8,1
8521.0,1,1,1
5824.0,33,38,2
4085.0,2,2,1
1072.0,11,13,1
4821.0,2,2,1
930.0,12,14,1
2211.0,2,2,1
720.0,5,9,1
2788.0,12,14,2
2470.0,1,1,1
4039.0,17,22,2
590.0,9,9,1
532.0,5,8,2
14409.0,23,27,3
28463.0,62,81,7
335.0,2,2,1
6044.0,2,2,2
3868.0,23,30,1
37197.0,69,98,6
6058.0,72,98,2
1960.0,6,11,2
5430.0,2,2,1
35578.0,109,151,6
9807.0,1,1,1
7302.0,59,81,3
14934.0,40,57,3
9190.0,1,1,1
270.0,30,40,2
2442.0,1,1,1
3083.0,35,48,3
17689.0,54,87,5
4051.0,1,1,1
2239.0,25,37,2
6541.0,19,25,3
429.0,19,27,2
1819.0,1,1,1
7245.0,27,46,4
5072.0,14,18,3
